text	is_joke	clean_text	lemmas
Эльвира Набиуллина в 2017 году увеличила доход на 25%	0	эльвира набиуллина в году увеличила доход на	эльвира набиуллина год увеличить доход
Если только не будет никакой сцены, то почему бы нам и не встретиться? Пожалуйста. Но человеческое терпение имеет свои границы.	0	если только не будет никакой сцены то почему бы нам и не встретиться пожалуйста но человеческое терпение имеет свои границы	никакой сцена почему нам встретиться пожалуйста человеческий терпение иметь свой граница
Спасибо за советы, но это всё завтра, аптека закрыта уже.	0	спасибо за советы но это всё завтра аптека закрыта уже	спасибо совет это весь завтра аптека закрыть
В двух шагах от него, громко говоря и обращая на себя общее внимание, стоял, опершись на сук и с обвязанной головой, высокий, красивый, черноволосый унтер-офицер.	0	в двух шагах от него громко говоря и обращая на себя общее внимание стоял опершись на сук и с обвязанной головой высокий красивый черноволосый унтерофицер	два шаг громко говорить обращая общий внимание стоять опершись сук обвязанной голова высокий красивый черноволосый унтерофицер
Мюзикл победил на Ближневосточном международном кинофестивале.	0	мюзикл победил на ближневосточном международном кинофестивале	мюзикл победить ближневосточный международный кинофестиваль
Али принес ящик, и граф стал заботливо рассматривать оружие, что было вполне естественно для человека, доверяющего свою жизнь кусочку свинца.	0	али принес ящик и граф стал заботливо рассматривать оружие что было вполне естественно для человека доверяющего свою жизнь кусочку свинца	али принести ящик граф стать заботливо рассматривать оружие вполне естественно человек доверять жизнь кусочку свинец
Жуки подтачивают корни растений, а гербы - народное благосостояние. Так и надо!	0	жуки подтачивают корни растений а гербы народное благосостояние так и надо	жуки подтачивать корень растение гербы народный благосостояние
И помнить что это не на вашей совести, а на совести хозяйки.	0	и помнить что это не на вашей совести а на совести хозяйки	помнить это ваш совесть совесть хозяйка
Выйду замуж на время кризиса,готовлю вкусно,говорю мало,голова никогда не болит	0	выйду замуж на время кризисаготовлю вкусноговорю малоголова никогда не болит	выйти замуж время кризисаготовлю вкусноговорю малоголова болеть
Можно выбрать для себя. но надо понимать, что ты просто сделал выбор. и твой путь не единственный и не лучший в мире.	0	можно выбрать для себя но надо понимать что ты просто сделал выбор и твой путь не единственный и не лучший в мире	выбрать понимать просто сделать выбор твой путь единственный хороший мир
Попытки перевести стрелки с кремляди на жЫдов выглядят жалкими попытками гэбья.	0	попытки перевести стрелки с кремляди на жыдов выглядят жалкими попытками гэбья	попытка перевести стрелка кремляди жыдов выглядеть жалкий попытка гэбья
Британские ученые возражают. Сан Франциско никогда не был русским.	0	британские ученые возражают сан франциско никогда не был русским	британский учёный возражать сан франциско русский
Ато как не послушаешь новости - британские уч0ные выяснили, поднятым или опущенным надо оставлять сиденье унитаза!	0	ато как не послушаешь новости британские уч ные выяснили поднятым или опущенным надо оставлять сиденье унитаза	ато послушаешь новость британский уч ные выяснить поднять опущенным оставлять сидение унитаз
Бля, неужто Ельцина чем то лучше ? Вообще любителям переименований ручонки пообрубать бы, чтоб раз и навсегда охоту отбило.	0	бля неужто ельцина чем то лучше вообще любителям переименований ручонки пообрубать бы чтоб раз и навсегда охоту отбило	бля неужто ельцин вообще любитель переименование ручонка пообрубать навсегда охота отбить
Вроде бы как раз на Барбадосе живут огромные очень больно кусающиеся комары...	0	вроде бы как раз на барбадосе живут огромные очень больно кусающиеся комары	вроде барбадос жить огромный очень больно кусаться комар
Вот все родители так.... Сначала учат ребёнка ходить и говорить. А потом - сидеть и молчать. Айш, ну ты ведь сама знаешь ответы на все вопросы. А если и не знаешь, то предугадываешь. Чот как-то не хоца тебе советовать. :p	0	вот все родители так сначала учат ребёнка ходить и говорить а потом сидеть и молчать айш ну ты ведь сама знаешь ответы на все вопросы а если и не знаешь то предугадываешь чот както не хоца тебе советовать p	родитель сначала учить ребёнок ходить говорить сидеть молчать айш сама знать ответ вопрос знать предугадывать чот както хоца тебе советовать p
Вообще в курсе, что ето такое. Говорю же, руки не доходят.	0	вообще в курсе что ето такое говорю же руки не доходят	вообще курс ето такой говорить рука доходить
Что-то он как то в росте поубавил после первой фотки. Запутывает следы?	0	чтото он как то в росте поубавил после первой фотки запутывает следы	чтото рост поубавить первый фотка запутывать след
Присутствие такого странного существа, как Квазимодо, вдыхало жизнь во все здание собора.	0	присутствие такого странного существа как квазимодо вдыхало жизнь во все здание собора	присутствие такой странный существо квазимодо вдыхало жизнь здание собор
Как вы думаете трахать мужика который трахал вашу бывшую жену, потом вашу настоящую жену, потом любовницу и вообще всех мало мальски значимых женщин в вашей жизни, это достаточно для самоутверждения ? а ? ну типа ты его трахнул, да..	0	как вы думаете трахать мужика который трахал вашу бывшую жену потом вашу настоящую жену потом любовницу и вообще всех мало мальски значимых женщин в вашей жизни это достаточно для самоутверждения а ну типа ты его трахнул да	думать трахать мужик который трахать ваш бывший жена ваш настоящий жена любовница вообще мало мальски значимый женщина ваш жизнь это достаточно самоутверждение тип трахнуть
Он тоже в них не ходит, бабушка пыталась его учить, но ему это не интересно. Мы правда уже за ручки ходим, нам 8,5 месяцев.	0	он тоже в них не ходит бабушка пыталась его учить но ему это не интересно мы правда уже за ручки ходим нам месяцев	ходить бабушка пытаться учить это интересный правда ручка ходить нам месяц
Я сам по случаю. А впрочем, чем могу.	0	я сам по случаю а впрочем чем могу	случай мочь
лучше пасть перед истуканом чем перед гордым человеком	0	лучше пасть перед истуканом чем перед гордым человеком	пасть истукан гордый человек
1 год. просим вернуть за вознаграждение 8-912-210-07-07 вот такое объявление было.	0	год просим вернуть за вознаграждение вот такое объявление было	год просить вернуть вознаграждение такой объявление
Краем уха-глаза видела репортаж по телику про вмерзшую кошку. не эта ли?	0	краем ухаглаза видела репортаж по телику про вмерзшую кошку не эта ли	краем ухаглаза видеть репортаж телику вмёрзнуть кошка этот
Он боялся Иродиады, Маннаи. он страшился неизвестного будущего! Фануил попытался убедить его.	0	он боялся иродиады маннаи он страшился неизвестного будущего фануил попытался убедить его	бояться иродиады маннаи страшился неизвестный будущее фануил попытаться убедить
Прощайте, мой благородный, великодушный друг; я расскажу Валентине обо всем, что вы для меня сделали.	0	прощайте мой благородный великодушный друг я расскажу валентине обо всем что вы для меня сделали	прощать благородный великодушный друг рассказать валентина обо всем сделать
Глава МВД России Рашид Нургалиев поставил задачу усилить работу сотрудников милиции.	0	глава мвд россии рашид нургалиев поставил задачу усилить работу сотрудников милиции	глава мвд россия рашид нургалиев поставить задача усилить работа сотрудник милиция
Сергей Викторович в хороших отношениях с Михаилом Владимировичем.	0	сергей викторович в хороших отношениях с михаилом владимировичем	сергей викторович хороший отношение михаил владимирович
"Но и произношу в слух ""скуби, давай сри уже. мать на работу проспала!"""	0	но и произношу в слух скуби давай сри уже мать на работу проспала	произношу слух скуби давать сри мать работа проспать
Миллион если уж и озвучивать, то на всю страну тогда... причем по первому каналу, кот. показывают во всех тюрьмах.	0	миллион если уж и озвучивать то на всю страну тогда причем по первому каналу кот показывают во всех тюрьмах	миллион озвучивать страна причём первый канал кот показывать тюрьма
С врагами России, пытающимися развалить страну, будем нещадно бороться.	0	с врагами россии пытающимися развалить страну будем нещадно бороться	враг россия пытаться развалить страна быть нещадно бороться
Помню беспорядок с деканатом и организацией учебного процесса.	0	помню беспорядок с деканатом и организацией учебного процесса	помнить беспорядок деканат организация учебный процесс
"При заполнении показателей водосчетчиков вдруг высветилось - ""потребление превышает норму на 10%"" Вы согласны с этим????"" На счет согласен-несогласен- другой вопрос."	0	при заполнении показателей водосчетчиков вдруг высветилось потребление превышает норму на вы согласны с этим на счет согласеннесогласен другой вопрос	заполнение показатель водосчетчиков высветилось потребление превышать норма согласный это счёт согласеннесогласен вопрос
Есть которые как девочки. Поэтому задайте себе вопрос: зачем мужчине нужна женщина.	0	есть которые как девочки поэтому задайте себе вопрос зачем мужчине нужна женщина	которые девочка поэтому задайте вопрос мужчина нужный женщина
При этом выжрали бутылку вискаря на двоих и скурили за день три пачки сигарет...И ет в 15 лет...	0	при этом выжрали бутылку вискаря на двоих и скурили за день три пачки сигарети ет в лет	выжрать бутылка вискаря двое скурить день пачка сигарети ет год
А как людям домой попасть? Которым надо перейти через дорогу?	0	а как людям домой попасть которым надо перейти через дорогу	человек домой попасть которым перейти дорога
Почитал свой гороскоп...По нему мне больше всего подходят львы и тельцы....А в жизни всё по другому почему то.Может я какой то неправильный овен?	0	почитал свой гороскоппо нему мне больше всего подходят львы и тельцыа в жизни всё по другому почему томожет я какой то неправильный овен	почитать свой гороскоппо нему подходить лев тельцыа жизнь всё другому почему томожет неправильный овен
Я человек достаточно умный, со всякими там медалями и высшим образованием.	0	я человек достаточно умный со всякими там медалями и высшим образованием	человек достаточно умный всякими медаль высокий образование
Так и останешься глупым и ничего не умеющим пользователем в глазах аудитории?	0	так и останешься глупым и ничего не умеющим пользователем в глазах аудитории	останешься глупый уметь пользователь глаз аудитория
А где, интересно, его купить в небольшом количестве? в строительных он, поди, мешками по 20 кг...	0	а где интересно его купить в небольшом количестве в строительных он поди мешками по кг	интересный купить небольшой количество строительный поди мешок кг
- давай,а то обижусь. тут она поднимает юбку,стягивает трусы -я тебя сюда что срать привел? пирожки давай!	0	давайа то обижусь тут она поднимает юбкустягивает трусы я тебя сюда что срать привел пирожки давай	давайа обижусь поднимать юбкустягивает трус сюда срать привести пирожок давать
В армии думают, что все кто не служил настолько тупые, что надо на форуме в интернете постить им два раза одно и то же сообщение Это в уставе караульной службы написано, ога	0	в армии думают что все кто не служил настолько тупые что надо на форуме в интернете постить им два раза одно и то же сообщение это в уставе караульной службы написано ога	армия думать служить настолько тупой форуме интернете постить раз одно сообщение это устав караульный служба написать ога
Ничего плохого, конечно, если честна с партнёром. Лично многих таких знаю, но все они врали(врут) про любовь.	0	ничего плохого конечно если честна с партнёром лично многих таких знаю но все они враливрут про любовь	плохой честна партнёр лично многих такой знать враливрут любовь
"Надо на площади труда построить памятник ""белорусскому неписяющему мальчику"""	0	надо на площади труда построить памятник белорусскому неписяющему мальчику	площадь труд построить памятник белорусский неписяющему мальчик
Историю знаем, и знаем не только данные факты ... а у вас как с историей 20 века?	0	историю знаем и знаем не только данные факты а у вас как с историей века	история знать знать данные факт история век
СМИ назвали американские боевые корабли «плавучей кучей мусора»	0	сми назвали американские боевые корабли «плавучей кучей мусора»	"сми назвать американский боевой корабль "" плавучий куча мусор """
Вы пропустили... вчера опытным путем было установлено что я бот.	0	вы пропустили вчера опытным путем было установлено что я бот	пропустить вчера опытный путь установить бот
Мази - не лечение - это профилактика, и если хочешь кататься на веле - готовься их покупать и мазаться.	0	мази не лечение это профилактика и если хочешь кататься на веле готовься их покупать и мазаться	мази лечение это профилактика хотеть кататься веле готовься покупать мазаться
Но только что он успокоился в своей позе, как над столом пролетела моль.	0	но только что он успокоился в своей позе как над столом пролетела моль	успокоиться свой поза стол пролететь моль
Сравните мерседес и киа. у обоих есть все, но мерседес качественней.	0	сравните мерседес и киа у обоих есть все но мерседес качественней	сравнить мерседес киа оба мерседес качественней
А кабинету тот же урал-софт за 7600 сайты толкает... на той же тележке...	0	а кабинету тот же уралсофт за сайты толкает на той же тележке	кабинет уралсофт сайт толкать тот тележка
Жучки - это те, которые для прослушки телефонных и всяческих разговоров?	0	жучки это те которые для прослушки телефонных и всяческих разговоров	жучка это тот которые прослушка телефонный всяческих разговор
Кстати у него вчера день рождения был надо ему вторую полтаву подарить.	0	кстати у него вчера день рождения был надо ему вторую полтаву подарить	кстати вчера день рождение второй полтава подарить
А может и не уходило надо работать! а не отсиживать жопу в кресле!	0	а может и не уходило надо работать а не отсиживать жопу в кресле	уходить работать отсиживать жопа кресле
В Пскове жители микрорайона Освище провели субботник	0	в пскове жители микрорайона освище провели субботник	пскове житель микрорайон освище провести субботник
А почему бы проект бюджета не выставить на публичное слушания?	0	а почему бы проект бюджета не выставить на публичное слушания	почему проект бюджет выставить публичный слушание
вода сама не подойдет подойдет жажда	0	вода сама не подойдет подойдет жажда	вода сама подойти подойти жажда
Для Вас Хоть с пятизначными!!! 8-904-54-73-443, icq: 497782763, Елена	0	для вас хоть с пятизначными icq елена	пятизначными icq елена
Доктор говорит пациентке: --- Вам нужно прекратить мастурбировать.... ? Почему, доктор? ?	0	доктор говорит пациентке вам нужно прекратить мастурбировать почему доктор	доктор говорить пациентка нужный прекратить мастурбировать почему доктор
А сколько мела сожгли???? куда известь дели???? и гектар чего сожгли? корней от конопли???	0	а сколько мела сожгли куда известь дели и гектар чего сожгли корней от конопли	сколько мел сжечь известь дели гектар сжечь корней конопля
Во время приготовление еды тратится 240 ккал в час. плюс 380 от этого дела.	0	во время приготовление еды тратится ккал в час плюс от этого дела	время приготовление еда тратиться ккал час плюс дело
Только отвезла его..... сейчас прошу содействия в пристройстве и содержании...	0	только отвезла его сейчас прошу содействия в пристройстве и содержании	отвезти просить содействие пристройстве содержании
Это так же сложно, как нам отличать поляков от чехов или от нас самих же, русских.	0	это так же сложно как нам отличать поляков от чехов или от нас самих же русских	это сложный нам отличать поляк чех самих русских
Трамп погрозил России ракетами и заговорил о дружбе	0	трамп погрозил россии ракетами и заговорил о дружбе	трамп погрозить россия ракетами заговорить дружба
Начальник Департамента образования считает, что охрану надо финансировать из бюджета.	0	начальник департамента образования считает что охрану надо финансировать из бюджета	начальник департамент образование считать охрана финансировать бюджет
Но служба моя кончилась скоро, я выучился только стрелять из ружья и ходить гусиным шагом.	0	но служба моя кончилась скоро я выучился только стрелять из ружья и ходить гусиным шагом	служба кончиться скоро выучиться стрелять ружьё ходить гусиный шаг
МИД Британии прокомментировал отказ КНДР от ядерных испытаний	0	мид британии прокомментировал отказ кндр от ядерных испытаний	мид британия прокомментировать отказ кндр ядерный испытание
изба елова да сердце здорово	0	изба елова да сердце здорово	изба елова сердце здорово
А то здесь отец мне твердит: Мой кабинет к твоим услугам - никто тебе мешать не будет; а сам от меня ни на шаг.	0	а то здесь отец мне твердит мой кабинет к твоим услугам никто тебе мешать не будет а сам от меня ни на шаг	отец твердить кабинет твой услуга никто тебе мешать шаг
Учитель дает знания. Не нравится такая работа - не работай. Дети не виноваты.	0	учитель дает знания не нравится такая работа не работай дети не виноваты	учитель давать знание нравиться такой работа работай ребёнок виноватый
Автор чего-то затих - может выйдет, поведаем нам подробности...	0	автор чегото затих может выйдет поведаем нам подробности	автор чегото затих выйти поведаем нам подробность
Элегия маленькому Салатиэлю Пейви, ребенку-актеру, была медом из львиной пасти. Но она была слишком длинна.	0	элегия маленькому салатиэлю пейви ребенкуактеру была медом из львиной пасти но она была слишком длинна	элегия маленький салатиэлю пейви ребенкуактеру мёд львиный пасть слишком длинный
50-летняя Валерия выглядит ровесницей 24-летней дочери Анны Шульгиной	0	летняя валерия выглядит ровесницей летней дочери анны шульгиной	летний валерия выглядеть ровесница летний дочь анна шульгин
Говорят, он на дороге часто выходил из кибитки, бросался лицом в снег и плакал. Никто в Лучиновке не узнавал прежнего веселого, любезного Василия Ивановича.	0	говорят он на дороге часто выходил из кибитки бросался лицом в снег и плакал никто в лучиновке не узнавал прежнего веселого любезного василия ивановича	говорить дорога часто выходить кибитка бросаться лицо снег плакать никто лучиновке узнавать прежний весёлый любезный василий иванович
Забавным и поучительным не потому, что у них можно действительно поучиться чему-то полезному, нет, все они тупицы и безгранично невежественные люди.	0	забавным и поучительным не потому что у них можно действительно поучиться чемуто полезному нет все они тупицы и безгранично невежественные люди	забавный поучительным действительно поучиться чемуто полезный тупица безгранично невежественный человек
И с того же времени у моего рабочего места висит Российский флаг, с которым я по городу буду гулять и праздновать победу.	0	и с того же времени у моего рабочего места висит российский флаг с которым я по городу буду гулять и праздновать победу	время мой рабочий место висеть российский флаг которым город быть гулять праздновать победа
Семья сплотилась в одно целое. Отец опустился на корточки, рядом с ним присел дядя Джон. Отец был теперь главой семьи. Мать стояла позади него.	0	семья сплотилась в одно целое отец опустился на корточки рядом с ним присел дядя джон отец был теперь главой семьи мать стояла позади него	семья сплотиться одно целое отец опуститься корточки рядом присесть дядя джон отец глава семья мать стоять позади
Рассказываю: Путин приказал всех карать, а ФСБ 50 ярдов бакинских еще обещало за информацию...	0	рассказываю путин приказал всех карать а фсб ярдов бакинских еще обещало за информацию	рассказывать путин приказать карать фсб ярд бакинский обещать информация
Небыдло - это быдло, назвавшее другого человеком быдлом.	0	небыдло это быдло назвавшее другого человеком быдлом	небыдло это быдло назвавшее другого человек быдлом
То есть ВДВ, морская пехота, мотопехота- это Вам не грозит.	0	то есть вдв морская пехота мотопехота это вам не грозит	вдв морской пехота мотопехота это грозить
Когда женщина начинает бороться за мужчину - ничем хорошим это, как правило, не заканчивается...	0	когда женщина начинает бороться за мужчину ничем хорошим это как правило не заканчивается	женщина начинать бороться мужчина ничто хороший это правило заканчиваться
Изобретенный гением. при повороте колеса кумушек падает в контейнер!	0	изобретенный гением при повороте колеса кумушек падает в контейнер	изобрести гений поворот колесо кумушка падать контейнер
"Точка своим ""кручу верчу запутать хочу"" уже начала напрягать."	0	точка своим кручу верчу запутать хочу уже начала напрягать	точка свой кручу верчу запутать хотеть начать напрягать
Приходит мужик в публичный дом, и все ему там не нравится. И вот он идет к управляющему и выговаривает: - Все у вас не так.	0	приходит мужик в публичный дом и все ему там не нравится и вот он идет к управляющему и выговаривает все у вас не так	приходить мужик публичный дом нравиться идти управляющему выговаривать
Но у Фрэнка это вырвалось ненароком, и он не желал продолжать. Лежал и смотрел вверх, на листья. - Сколько вам лет, Фрэнк?	0	но у фрэнка это вырвалось ненароком и он не желал продолжать лежал и смотрел вверх на листья сколько вам лет фрэнк	фрэнка это вырваться ненароком желать продолжать лежать смотреть вверх лист сколько год фрэнк
Разговаривают двое. - Стал я делать ей комплименты, а она мне – пощечину. - Что-нибудь неприличное сказал? - Вообще молчал. - А как же ты тогда комплименты делал?	0	разговаривают двое стал я делать ей комплименты а она мне – пощечину чтонибудь неприличное сказал вообще молчал а как же ты тогда комплименты делал	разговаривать двое стать делать комплимент – пощёчина чтонибудь неприличное сказать вообще молчать комплимент делать
Беспробудное пьянство взяло верх над половыми излишествами...	0	беспробудное пьянство взяло верх над половыми излишествами	беспробудный пьянство взять верх половой излишествами
При том исполнимая мечта. И при том мечта, о которой можно мечтать ещё и ещё раз после того, как она исполнится.	0	при том исполнимая мечта и при том мечта о которой можно мечтать ещё и ещё раз после того как она исполнится	исполнимая мечта мечта которой мечтать ещё ещё исполниться
Обморок вызывается, грубо говоря, резким снижением артериального давления. Кровь к мозгу не поступает и человек падает в обморок.	0	обморок вызывается грубо говоря резким снижением артериального давления кровь к мозгу не поступает и человек падает в обморок	обморок вызываться грубо говорить резкий снижение артериальный давление кровь мозг поступать человек падать обморок
Я бы не противопоставляла Нашу Рашу и Комеди клаб другим юмористическим передачам.	0	я бы не противопоставляла нашу рашу и комеди клаб другим юмористическим передачам	противопоставлять наш рашу комеди клаб другим юмористический передача
Поговорив несколько времени в общем кругу, Сперанский встал и, подойдя к князю Андрею, отозвал его с собой на другой конец комнаты.	0	поговорив несколько времени в общем кругу сперанский встал и подойдя к князю андрею отозвал его с собой на другой конец комнаты	поговорить несколько время общий круг сперанский встать подойти князь андрей отозвать себя конец комната
Две бабки сидят на завалинке, одна другой: - А ты помнишь как меня зовут? Вторая, после минутного раздумывания: - А тебе срочно?	0	две бабки сидят на завалинке одна другой а ты помнишь как меня зовут вторая после минутного раздумывания а тебе срочно	два бабка сидеть завалинка один помнить звать второй минутный раздумывание тебе срочно
Во первых качественно, во вторых красиво, а в третьих момент.	0	во первых качественно во вторых красиво а в третьих момент	первый качественно второй красиво третий момент
"Снесёт ли курица яйцо, если ее ""оттопчет"" человек? Попытается сделать то же самое, что и петух? (без вреда для курицы)?"	0	снесёт ли курица яйцо если ее оттопчет человек попытается сделать то же самое что и петух без вреда для курицы	снесёт курица яйцо оттоптать человек попытаться сделать самое петух вред курица
Похоже на искон - международное общество сознания кришны.	0	похоже на искон международное общество сознания кришны	похожий искон международный общество сознание кришны
И если дочь приносит в подолЕ, То это - ради жизни на Земле! В.Вишневский.	0	и если дочь приносит в подоле то это ради жизни на земле ввишневский	дочь приносить подоле это ради жизнь земле ввишневский
А что, государство вооще отказалось финансировать детский дом???? Пишите прокурору заяву!	0	а что государство вооще отказалось финансировать детский дом пишите прокурору заяву	государство вооще отказаться финансировать детский дом пишите прокурор заяву
Я хорошо понимал эту улыбочку: она обозначала, что слуга мой узнал что-нибудь невыгодное или даже неприличное насчет господ.	0	я хорошо понимал эту улыбочку она обозначала что слуга мой узнал чтонибудь невыгодное или даже неприличное насчет господ	понимать улыбочка обозначала слуга узнать чтонибудь невыгодный неприличное насчёт господин
